file,exp_Qi,exp_Qc,exp_phi,exp_delay_ns,exp_a,exp_alpha,fr_GHz,Q_i,Q_c,Q_total,kappa_i,kappa_c,redchi,success
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a0.10_alpha0.00rad,1500,1501,0,0,0.1,0,9.99997,3.90116,3.91754,1.95467,0.256334,0.255262,0.000502702,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a0.20_alpha0.00rad,1500,1501,0,0,0.2,0,9.99997,3.87952,3.89572,1.9438,0.257764,0.256692,0.00201081,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a0.30_alpha0.00rad,1500,1501,0,0,0.3,0,9.99997,3.89368,3.91,1.95091,0.256827,0.255754,0.00452432,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a0.40_alpha0.00rad,1500,1501,0,0,0.4,0,9.99997,4.12502,4.14334,2.06708,0.242423,0.241351,0.00804323,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a0.50_alpha0.00rad,1500,1501,0,0,0.5,0,9.99997,4.28303,4.30278,2.14644,0.23348,0.232408,0.0125676,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a0.60_alpha0.00rad,1500,1501,0,0,0.6,0,9.99997,5.77919,5.81522,2.89858,0.173035,0.171962,0.0180973,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a0.70_alpha0.00rad,1500,1501,0,0,0.7,0,9.99997,4.37256,4.39316,2.19142,0.228699,0.227627,0.0246324,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a0.80_alpha0.00rad,1500,1501,0,0,0.8,0,9.99997,4.24053,4.25989,2.12509,0.23582,0.234748,0.0321729,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a0.90_alpha0.00rad,1500,1501,0,0,0.9,0,9.99997,3.77858,3.79395,1.89313,0.26465,0.263577,0.0407188,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a1.00_alpha0.00rad,1500,1501,0,0,1,0,9.99997,3.76216,3.7774,1.88488,0.265805,0.264733,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a1.00_alpha0.10rad,1500,1501,0,0,1,0.1,9.99997,3.76215,3.77738,1.88487,0.265806,0.264734,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a1.00_alpha0.50rad,1500,1501,0,0,1,0.5,9.99997,3.85851,3.87453,1.93325,0.259168,0.258096,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a1.00_alpha1.00rad,1500,1501,0,0,1,1,9.99997,3.78498,3.8004,1.89634,0.264202,0.26313,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a1.00_alpha1.50rad,1500,1501,0,0,1,1.5,9.99997,3.77282,3.78814,1.89023,0.265054,0.263981,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau0.0ns_a1.00_alpha2.00rad,1500,1501,0,0,1,2,9.99997,3.78494,3.80036,1.89632,0.264205,0.263133,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau1.0ns_a1.00_alpha0.00rad,1500,1501,0,1,1,0,9.99997,3.85285,3.86883,1.93041,0.259548,0.258476,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau10.0ns_a1.00_alpha0.00rad,1500,1501,0,10,1,0,9.99997,3.76735,3.78263,1.88749,0.265438,0.264366,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau2.0ns_a1.00_alpha0.00rad,1500,1501,0,2,1,0,9.99997,3.76736,3.78263,1.88749,0.265438,0.264366,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau5.0ns_a1.00_alpha0.00rad,1500,1501,0,5,1,0,9.99997,3.7674,3.78268,1.88751,0.265435,0.264363,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau7.0ns_a1.00_alpha0.00rad,1500,1501,0,7,1,0,9.99997,3.85276,3.86874,1.93037,0.259554,0.258482,0.0502702,True
Qi1500_Qc1501_phi+0.00rad_tau9.0ns_a1.00_alpha0.00rad,1500,1501,0,9,1,0,9.99997,3.85281,3.86879,1.93039,0.259551,0.258479,0.0502702,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a0.10_alpha0.00rad,2000,1501,0,0,0.1,0,9.99997,4.17526,4.19236,2.0919,0.239506,0.238529,0.000816635,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a0.20_alpha0.00rad,2000,1501,0,0,0.2,0,9.99997,4.40512,4.42417,2.20731,0.227008,0.226031,0.00326654,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a0.30_alpha0.00rad,2000,1501,0,0,0.3,0,9.99997,4.71021,4.73199,2.36054,0.212305,0.211328,0.00734972,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a0.40_alpha0.00rad,2000,1501,0,0,0.4,0,9.99997,3.99902,4.01471,2.00342,0.250061,0.249084,0.0130662,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a0.50_alpha0.00rad,2000,1501,0,0,0.5,0,9.99997,4.57241,4.59294,2.29133,0.218703,0.217726,0.0204159,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a0.60_alpha0.00rad,2000,1501,0,0,0.6,0,9.99997,6.24382,6.28215,3.13146,0.160158,0.159181,0.0293989,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a0.70_alpha0.00rad,2000,1501,0,0,0.7,0,9.99997,4.6479,4.66911,2.32924,0.215151,0.214174,0.0400151,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a0.80_alpha0.00rad,2000,1501,0,0,0.8,0,9.99997,4.4659,4.48548,2.23783,0.223919,0.222942,0.0522646,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a0.90_alpha0.00rad,2000,1501,0,0,0.9,0,9.99997,4.37527,4.39406,2.19232,0.228557,0.22758,0.0661474,True
Qi2000_Qc1501_phi+0.00rad_tau0.0ns_a1.00_alpha0.00rad,2000,1501,0,0,1,0,9.99997,4.28277,4.30077,2.14588,0.233494,0.232517,0.0816635,True
